timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709693781781,66,buildkiteassets,200,OK,GraphQL 3-36,text,true,,1121,151,48,97,https://buildkiteassets.com/graphql-explorer/index.html,66,0,47
1709693781691,157,graphql_braintreepayments,200,OK,GraphQL 3-41,text,true,,102316,143,48,97,https://graphql.braintreepayments.com/explorer/,130,0,22
1709693781686,180,steam,200,OK,GraphQL 3-6,text,true,,89396,1367,49,99,https://steamcommunity.com/openid/loginform/?goto=%2Fopenid%2Flogin%3Fopenid.claimed_id%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%252fidentifier_select%26openid.identity%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%252fidentifier_select%26openid.mode%3Dcheckid_setup%26openid.ns%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%26openid.realm%3Dhttps%253a%252f%252fapi.stratz.com%26openid.return_to%3Dhttps%253a%252f%252fapi.stratz.com%252fapi%252fv1%252fuser%252fsteamValidate%253fstate%253dq7Qjt78ueqaDxGVVoegP8i1mupqg6lw0LTbBIAvY0_Yk8-Z0K1xqtMAwBgOAUswaUBf83AaTGYvSiwaL7Kvg0A%2526returnUrl%253dhttps%25253a%25252f%25252fstratz.com%25252f%3Fopenid.claimed_id%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%252Fidentifier_select%26openid.identity%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%252Fidentifier_select%26openid.mode%3Dcheckid_setup%26openid.ns%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%26openid.realm%3Dhttps%253A%252F%252Fapi.stratz.com%26openid.return_to%3Dhttps%253A%252F%252Fapi.stratz.com%252Fapi%252Fv1%252Fuser%252FsteamValidate%253Fstate%253Dq7Qjt78ueqaDxGVVoegP8i1mupqg6lw0LTbBIAvY0_Yk8-Z0K1xqtMAwBgOAUswaUBf83AaTGYvSiwaL7Kvg0A%2526returnUrl%253Dhttps%25253a%25252f%25252fstratz.com%25252f,165,0,27
1709693781300,568,studio_apollographql,200,OK,GraphQL 3-9,text,true,,9452,175,49,99,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,566,0,53
1709693781811,74,buildkiteassets,200,OK,GraphQL 3-38,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,74,0,51
1709693781264,622,studio_apollographql,200,OK,GraphQL 3-8,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,618,0,50
1709693781341,546,studio_apollographql,200,OK,GraphQL 3-13,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,545,0,50
1709693781307,581,studio_apollographql,200,OK,GraphQL 3-11,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,580,0,45
1709693781821,70,buildkiteassets,200,OK,GraphQL 3-39,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,70,0,49
1709693781835,74,buildkiteassets,200,OK,GraphQL 3-40,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,74,0,50
1709693781295,620,studio_apollographql,200,OK,GraphQL 3-10,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,614,0,59
1709693781350,568,studio_apollographql,200,OK,GraphQL 3-12,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,562,0,52
1709693781732,187,graphql_braintreepayments,200,OK,GraphQL 3-43,text,true,,102316,143,50,100,https://graphql.braintreepayments.com/explorer/,154,0,40
1709693781848,71,buildkiteassets,200,OK,GraphQL 3-41,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,71,0,48
1709693781297,622,studio_apollographql,200,OK,GraphQL 3-7,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,621,0,45
1709693781569,353,studio_apollographql,200,OK,GraphQL 3-24,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,350,0,58
1709693781152,776,studio_apollographql,200,OK,GraphQL 3-3,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,772,0,51
1709693781711,218,graphql_braintreepayments,200,OK,GraphQL 3-42,text,true,,102316,143,50,100,https://graphql.braintreepayments.com/explorer/,171,0,56
1709693781752,193,graphql_braintreepayments,200,OK,GraphQL 3-44,text,true,,102316,143,50,100,https://graphql.braintreepayments.com/explorer/,149,0,25
1709693781772,177,graphql_braintreepayments,200,OK,GraphQL 3-45,text,true,,102316,143,50,100,https://graphql.braintreepayments.com/explorer/,139,0,19
