Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_Music_a10.gaanacdn,1,256,256,256,0,0.00%,3.90625,685.96,0.65,179820
GraphQL_Music_binaryjazz.us,1,613,613,613,0,0.00%,1.63132,2.04,0.23,1280
GraphQL_Music_jiosaavn,1,1852,1852,1852,0,0.00%,0.53996,43.22,0.08,81959
GraphQL_Music_api.lyrics.ovh1,1,794,794,794,0,0.00%,1.25945,1.96,0.2,1590
GraphQL_Music_api.lyrics.ovh2,1,217,217,217,0,0.00%,4.60829,8.51,0.66,1892
GraphQL_Music_s3.amazonaws1,1,256,256,256,0,0.00%,3.90625,65.65,0.57,17211
GraphQL_Music_api.lyrics.ovh3,1,253,253,253,0,0.00%,3.95257,4.36,0.58,1129
GraphQL_Music_api.lyrics.ovh4,1,307,307,307,0,0.00%,3.25733,7.29,0.47,2293
GraphQL_Music_api.lyrics.ovh5,1,306,306,306,0,0.00%,3.26797,4.57,0.49,1431
GraphQL_Music_api.lyrics.ovh6,1,204,204,204,0,0.00%,4.90196,7.02,0.66,1467
GraphQL_Social_a.4cdn.org,1,516,516,516,0,0.00%,1.93798,69.21,0.24,36567
GraphQL_Social_hacker-news1,1,241,241,241,0,0.00%,4.14938,3.04,0.65,749
GraphQL_Social_hacker-news2,1,41,41,41,0,0.00%,24.39024,14.98,3.91,629
GraphQL_Social_hacker-news3,1,37,37,37,0,0.00%,27.02703,30.12,4.3,1141
GraphQL_Social_hacker-news4,1,41,41,41,0,0.00%,24.39024,55.88,3.88,2346
GraphQL_Social_hacker-news5,1,44,44,44,0,0.00%,22.72727,16.53,3.62,745
GraphQL_Social_hacker-news6,1,40,40,40,0,0.00%,25,11.91,3.98,488
GraphQL_Social_opencollective.com1,1,6056,6056,6056,0,0.00%,0.16513,67.54,0.03,418867
GraphQL_Social_opencollective.com2,1,556,556,556,0,0.00%,1.79856,12.11,0.28,6894
GraphQL_Social_opencollective.com3,1,430,430,430,0,0.00%,2.32558,14.85,0.4,6537
GraphQL_Security_data.police.uk1,1,902,902,902,0,0.00%,1.10865,3.4,0.16,3141
GraphQL_Security_http-observatory.security.mozilla1,1,507,507,507,0,0.00%,1.97239,6.07,0.34,3151
GraphQL_Security_http-observatory.security.mozilla2,1,80,80,80,0,0.00%,12.5,6.92,2.14,567
GraphQL_Security_http-observatory.security.mozilla3,1,100,100,100,0,0.00%,10,8.44,1.66,864
