Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Rest_Movie_breakingbadquotes2,1,41,41,41,0.00,0.000%,24.39024,24.41,3.36,1025.0
Rest_Movie_finalspaceapi1,1,1522,1522,1522,0.00,0.000%,.65703,1.11,0.08,1732.0
Rest_Movie_finalspaceapi2,1,55,55,55,0.00,0.000%,18.18182,267.10,2.41,15043.0
Rest_Movie_gameofthronesquotes1,1,212,212,212,0.00,0.000%,4.71698,2.93,0.65,637.0
Rest_Movie_gameofthronesquotes2,1,50,50,50,0.00,0.000%,20.00000,28.52,2.79,1460.0
Rest_Movie_lucifer-quotes1,1,300,300,300,0.00,0.000%,3.33333,2.10,0.46,645.0
Rest_Movie_lucifer-quotes2,1,138,138,138,0.00,0.000%,7.24638,7.82,1.00,1105.0
Rest_Weather_7timer1,1,85,85,85,0.00,0.000%,11.76471,176.47,2.36,15360.0
Rest_Weather_7timer2,1,141,141,141,0.00,0.000%,7.09220,56.95,2.53,8223.0
Rest_Weather_api.open-meteo1,1,309,309,309,0.00,0.000%,3.23625,19.02,0.82,6018.0
Rest_Weather_api.open-meteo2,1,106,106,106,0.00,0.000%,9.43396,122.24,2.17,13268.0
Rest_Weather_api.open-meteo3,1,621,621,621,0.00,0.000%,1.61031,326.11,0.37,207373.0
Rest_Weather_tilecache.rainviewer1,2,88,25,151,63.00,0.000%,5.83090,33.13,1.01,5818.5
Rest_Weather_tilecache.rainviewer2,1,28,28,28,0.00,0.000%,35.71429,309.33,6.21,8869.0
Rest_Weather_api.weather.gov1,1,109,109,109,0.00,0.000%,9.17431,33.44,1.28,3732.0
Rest_Weather_api.weather.gov2,1,28,28,28,0.00,0.000%,35.71429,641.99,5.20,18407.0
TOTAL,150,801,23,23821,2710.22,0.667%,1.24383,291.11,0.21,239663.4
