Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,Api_No,Category
GraphQL_Business_tenders.guru1,1,1041,1041,1041,0,0.00%,0.96061,10.54,0.14,11235,171,Business
GraphQL_Business_tenders.guru2,1,203,203,203,0,0.00%,4.92611,4.91,0.64,1020,172,Business
GraphQL_Business_tenders.guru3,1,207,207,207,0,0.00%,4.83092,82.96,0.69,17584,173,Business
GraphQL_Business_api.domainsdb,1,811,811,811,0,0.00%,1.23305,16.05,0.2,13325,174,Business
GraphQL_Business_freelancer,1,268,268,268,0,0.00%,3.73134,6.39,0.47,1753,175,Business
GraphQL_Business_tenders.guru4,1,145,145,145,0,0.00%,6.89655,18.46,0.93,2741,176,Business
GraphQL_Business_tenders.guru5,1,206,206,206,0,0.00%,4.85437,53.26,0.69,11235,177,Business
GraphQL_Business_tenders.guru6,1,203,203,203,0,0.00%,4.92611,10.13,0.68,2105,178,Business
GraphQL_Business_tenders.guru7,1,1135,1135,1135,0,0.00%,0.88106,356.12,0.11,413893,179,Business
GraphQL_Business_smallbusinessbc.ca,1,3342,3342,3342,0,0.00%,0.29922,48.26,0.05,165163,180,Business
GraphQL_Calendar_calapi.inadiutorium1,1,846,846,846,0,0.00%,1.18203,0.54,0.19,472,181,Calendar
GraphQL_Calendar_calapi.inadiutorium2,1,305,305,305,0,0.00%,3.27869,1.55,0.52,485,182,Calendar
GraphQL_Calendar_calapi.inadiutorium3,1,204,204,204,0,0.00%,4.90196,2.6,0.74,544,183,Calendar
GraphQL_Calendar_date.nager.at1,1,342,342,342,0,0.00%,2.92398,8.47,0.42,2967,184,Calendar
GraphQL_Calendar_date.nager.at2,1,270,270,270,0,0.00%,3.7037,6.87,0.53,1900,185,Calendar
GraphQL_Calendar_date.nager.at3,1,414,414,414,0,0.00%,2.41546,49.6,0.34,21029,186,
GraphQL_Calendar_github_isdayoff,1,841,841,841,0,0.00%,1.18906,208.46,0.16,179523,187,Calendar
GraphQL_Calendar_calapi1,1,277,277,277,0,0.00%,3.61011,34.8,0.52,9870,188,Calendar
GraphQL_Calendar_calapi2,1,248,248,248,0,0.00%,4.03226,36.12,0.58,9172,189,Calendar
GraphQL_Calendar_calapi3,1,263,263,263,0,0.00%,3.80228,35.3,0.55,9506,190,Calendar
GraphQL_Development_24pullrequests,1,3953,3953,3953,0,0.00%,0.25297,3905.05,0.04,15807133,191,Development
GraphQL_Development_api.apicagent,1,653,653,653,0,0.00%,1.53139,1.78,0.39,1190,192,Development
GraphQL_Development_api.apis.guru1,1,242,242,242,0,0.00%,4.13223,59.38,0.54,14714,193,Development
GraphQL_Development_api.apis.guru2,1,49,49,49,0,0.00%,20.40816,1238.22,2.69,62129,194,Development
GraphQL_Development_api.apis.guru3,1,43,43,43,0,0.00%,23.25581,61.84,3.2,2723,195,Development
GraphQL_Development_api.apis.guru4,1,28,28,28,0,0.00%,35.71429,57.13,4.92,1638,196,Development
GraphQL_Development_api.apis.guru5,1,43,43,43,0,0.00%,23.25581,15.85,3.36,698,197,Development
GraphQL_Development_api.apis.guru6,1,26,26,26,0,0.00%,38.46154,62.5,5,1664,198,Development
GraphQL_Development_api.apis.guru7,1,1172,1172,1172,0,0.00%,0.85324,7379.25,0.11,8856043,199,Development
GraphQL_Development_api.apis.guru8,1,31,31,31,0,0.00%,32.25806,53.71,4.28,1705,200,Development
GraphQL_Development_api.apis.guru9,1,54,54,54,0,0.00%,18.51852,754.03,2.42,41695,201,Development
GraphQL_Development_api.apis.guru10,1,31,31,31,0,0.00%,32.25806,68.04,4.41,2160,202,Development
GraphQL_Development_api.apis.guru11,1,37,37,37,0,0.00%,27.02703,138.54,3.56,5249,203,Development
GraphQL_Development_api.apis.guru12,1,32,32,32,0,0.00%,31.25,55.05,4.21,1804,204,Development
GraphQL_Development_http2.pro,1,132,132,132,0,0.00%,7.57576,7.18,0.89,970,205,Development
GraphQL_Development_qrtag.net1,1,960,960,960,0,0.00%,1.04167,22.56,0.18,22181,206,Development
GraphQL_Development__qrtag.net2,1,386,386,386,0,0.00%,2.59067,55.01,0.43,21743,207,Development
