Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_movie_star_war_10,100,5618,41,10179,4959.24,55.44%,0.24719,1.42,0.08,5872.7
GraphQL_weather_1,100,160,33,7124,738.36,0.00%,0.24716,2.65,0.03,10961
GraphQL_weather_2,100,105,72,719,71.26,0.00%,0.24717,0.14,0.03,595
GraphQL_weather_3,100,117,40,1386,209.41,0.00%,0.24702,13.85,0.03,57424.7
GraphQL_weather_4,100,51,12,1379,165.97,0.00%,0.24724,2.03,0.03,8404
GraphQL_weather_5,100,128,51,2012,237.98,0.00%,0.24719,21.2,0.03,87840
GraphQL_weather_6,100,30,11,682,69.43,0.00%,0.24723,1.94,0.03,8030
GraphQL_weather_7,100,28,11,761,77.21,0.00%,0.24724,1.8,0.03,7454
GraphQL_weather_8,100,31,10,757,84.33,0.00%,0.24723,0.32,0.03,1305
GraphQL_weather_9,100,36,11,778,91.97,0.00%,0.24717,2.02,0.03,8378
GraphQL_weather_10,100,38,12,770,106.34,0.00%,0.24717,2.65,0.03,10961
TOTAL,14779,1903,6,843151,18187.16,20.43%,15.30095,485.04,7.41,32460.8
